0 0
0 -0.741806 0
0 1.94959 0
0 1.94959 0
0 0.744195 0
0 1.2647 0
0 0.87834 0
0 0.556034 0
0 0.585236 0
0 0.655297 0
0 0.655297 0
0 0.655297 0
0 1.04213 0
0 1.26641 0
0 0.87583 0
0 1.27848 0
0 0.784881 0
0 1.09701 0
0 1.2486 0
0 0.970199 0
0 1.18363 0
0 0.910476 0
0 1.18363 0
0 0.829342 0
0 1.24078 0
0 1.24078 0
0 1.02466 0
0 1.02466 0
0 1.00917 0
0 1.17515 0
0 1.21446 0
0 1.20117 0
0 1.15033 0
0 1.15033 0
0 1.09861 0
0 0.950634 0
0 1.15847 0
0 0.963438 0
0 1.04869 0
0 1.02467 0
0 1.0972 0
0 1.01545 0
0 1.12765 0
0 0.982929 0
0 1.02701 0
0 0.995146 0
0 1.03609 0
0 1.01137 0
0 1.02701 0
0 1.0913 0
0 1.00831 0
0 1.12307 0
0 1.02701 0
0 1.07191 0
0 1.07191 0
0 1.0919 0
0 0.985761 0
0 1.03151 0
0 1.06139 0
0 1.18911 0
0 1.07131 0
0 0.991813 0
0 1.13754 0
0 0.99257 0
0 1.10457 0
0 0.966343 0
0 0.98229 0
0 0.981267 0
0 1.05065 0
0 1.06027 0
0 1.05065 0
0 1.01085 0
0 1.06027 0
0 1.03589 0
0 1.11368 0
0 1.0368 0
0 1.08228 0
0 1.2317 0
0 1.02397 0
0 1.02397 0
0 1.08228 0
0 1.26276 0
0 1.09035 0
0 1.25832 0
0 1.03454 0
0 1.03454 0
0 1.04733 0
0 1.04733 0
0 0.998152 0
0 1.10284 0
0 0.96996 0
0 0.96996 0
0 0.96996 0
0 1.05508 0
0 1.01679 0
0 1.01679 0
0 1.01982 0
0 1.09902 0
0 1.17517 0
0 1.05826 0
0 1.05826 0
0 1.0286 0
0 0.915569 0
0 1.0286 0
0 1.04415 0
0 1.07925 0
0 1.04415 0
0 0.996543 0
0 1.01668 0
0 0.91359 0
0 1.21072 0
0 1.04415 0
0 1.03747 0
0 1.0585 0
0 1.07041 0
0 1.01889 0
0 1.07611 0
0 0.971465 0
0 1.00094 0
0 1.01059 0
0 1.0585 0
0 1.07344 0
0 0.983503 0
0 1.17246 0
0 1.00458 0
0 1.08589 0
0 1.14255 0
0 1.07344 0
0 1.07344 0
0 1.00817 0
0 1.0544 0
0 0.975206 0
0 1.03009 0
0 1.08084 0
0 1.08084 0
0 1.04525 0
0 1.08084 0
0 1.02381 0
0 1.00492 0
0 1.00492 0
0 1.1167 0
0 1.06165 0
0 1.03497 0
0 1.01841 0
0 1.11466 0
0 1.06297 0
0 1.03206 0
0 1.06121 0
0 1.00702 0
0 1.00702 0
0 0.972815 0
0 1.03766 0
0 0.993356 0
0 0.978846 0
0 1.06442 0
0 1.02434 0
0 0.985253 0
0 1.01683 0
0 1.02982 0
0 0.985253 0
0 1.08487 0
0 1.08487 0
0 1.07602 0
0 1.04766 0
0 1.05033 0
0 1.09132 0
0 1.01312 0
0 1.10769 0
0 0.98919 0
0 1.08988 0
0 0.98919 0
0 1.12246 0
0 1.01106 0
0 1.01106 0
0 1.09132 0
0 1.09132 0
0 1.06966 0
0 1.08057 0
0 0.983979 0
0 1.00949 0
0 0.977594 0
0 1.02705 0
0 1.06966 0
0 1.16838 0
0 1.01683 0
0 1.01052 0
0 1.08697 0
0 1.0245 0
0 1.0245 0
0 1.02042 0
0 1.07155 0
0 1.00511 0
0 1.00511 0
0 1.01683 0
0 1.02513 0
0 1.03026 0
0 0.972843 0
0 0.983914 0
0 1.06031 0
0 1.01599 0
0 1.01599 0
0 1.01599 0
0 1.09265 0
0 0.953933 0
0 0.953933 0
0 1.11636 0
0 1.01056 0
0 0.989408 0
0 0.989408 0
0 0.989408 0
0 0.989408 0
0 1.03828 0
0 0.983496 0
0 1.01066 0
0 1.04267 0
0 0.971247 0
0 1.0069 0
0 1.03515 0
0 1.0431 0
0 1.03976 0
0 1.05024 0
0 1.05024 0
0 1.05849 0
0 1.05849 0
0 1.00183 0
0 1.00439 0
0 1.05419 0
0 1.05419 0
0 0.992984 0
0 1.0704 0
0 1.02874 0
0 1.02874 0
0 1.05003 0
0 1.00419 0
0 1.12153 0
0 1.00822 0
0 1.11845 0
0 0.992278 0
0 0.992278 0
0 1.065 0
0 1.10917 0
0 1.00822 0
0 1.02961 0
0 1.05502 0
0 0.973741 0
0 1.02961 0
0 1.00822 0
0 1.00822 0
0 1.08643 0
0 1.11697 0
0 1.03449 0
0 1.0787 0
0 1.03356 0
0 1.00274 0
0 1.1514 0
0 1.03786 0
0 1.07449 0
0 1.01923 0
0 1.0748 0
0 1.00822 0
0 1.2406 0
0 1.10761 0
0 1.14244 0
0 1.12496 0
0 1.00582 0
0 1.02095 0
0 1.00724 0
0 1.12496 0
0 1.08175 0
0 1.02254 0
0 1.01752 0
0 1.16014 0
0 1.16418 0
0 1.16418 0
0 1.16888 0
0 0.998968 0
0 0.990279 0
0 0.990279 0
0 1.07571 0
0 1.0201 0
0 1.0795 0
0 1.0901 0
0 0.990279 0
0 1.26254 0
0 1.15558 0
0 1.01465 0
0 1.0795 0
0 1.09439 0
0 1.13032 0
0 1.13032 0
0 1.01465 0
0 0.988755 0
0 0.988755 0
0 1.17158 0
0 1.05936 0
0 1.0901 0
0 1.15558 0
0 1.03688 0
0 0.991711 0
0 0.991711 0
0 1.06347 0
0 1.15558 0
0 1.09239 0
0 1.13911 0
0 1.19888 0
0 1.07013 0
0 1.09239 0
0 1.15231 0
0 1.05761 0
0 1.05761 0
0 1.13317 0
0 1.11072 0
0 0.999832 0
0 0.999832 0
0 1.00261 0
0 1.00261 0
0 1.01731 0
0 1.08489 0
0 1.08489 0
0 1.1111 0
0 1.01349 0
0 1.06712 0
0 1.06712 0
0 1.0653 0
0 2.75532 0
0 1.01747 0
0 1.11195 0
0 1.11023 0
0 1.1381 0
0 1.1077 0
0 1.00868 0
0 1.00868 0
0 1.0975 0
0 1.13253 0
0 1.05224 0
0 1.03164 0
0 1.03164 0
